epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1170.1,1.18212,0.94966,1.1713,0.65613,0.63736,0.65281,0.40671,1.29747,1.04722,1.14666,0.0004952,0.0004952,0.0004952
78,1180.92,1.15134,0.94804,1.15054,0.62572,0.66487,0.65146,0.40648,1.30132,1.04727,1.14842,0.0004754,0.0004754,0.0004754
79,1191.24,1.22239,0.97132,1.189,0.63288,0.65866,0.6493,0.40576,1.3041,1.05039,1.15139,0.0004556,0.0004556,0.0004556
80,1201.08,1.17329,0.93843,1.14855,0.65267,0.65514,0.65673,0.40993,1.30359,1.03466,1.14652,0.0004358,0.0004358,0.0004358
81,1210.9,1.20214,0.95663,1.1633,0.64837,0.67328,0.66081,0.41022,1.30905,1.03049,1.14512,0.000416,0.000416,0.000416
82,1220.24,1.19404,0.95253,1.19623,0.64745,0.6767,0.66352,0.41274,1.30454,1.02511,1.14005,0.0003962,0.0003962,0.0003962
83,1229.89,1.19144,0.968,1.17707,0.64068,0.6905,0.66617,0.41578,1.29352,1.0178,1.13529,0.0003764,0.0003764,0.0003764
84,1239.04,1.18595,0.95032,1.15658,0.66778,0.66388,0.66294,0.41332,1.30118,1.01453,1.14316,0.0003566,0.0003566,0.0003566
85,1247.71,1.14947,0.93701,1.15343,0.66621,0.66253,0.66085,0.41433,1.28775,1.01737,1.13988,0.0003368,0.0003368,0.0003368
86,1257.43,1.14133,0.90497,1.15267,0.66727,0.6615,0.66136,0.41722,1.28102,1.01984,1.13753,0.000317,0.000317,0.000317
87,1266.76,1.17257,0.92933,1.16634,0.66625,0.67223,0.66332,0.41904,1.27725,1.0195,1.13324,0.0002972,0.0002972,0.0002972
88,1276.05,1.18344,0.938,1.18038,0.6608,0.67119,0.66504,0.42403,1.26899,1.01036,1.12423,0.0002774,0.0002774,0.0002774
89,1285.15,1.16324,0.93034,1.11612,0.66737,0.67328,0.66866,0.42647,1.27496,1.01122,1.12483,0.0002576,0.0002576,0.0002576
90,1294.74,1.14621,0.91919,1.15675,0.66663,0.67223,0.67077,0.42667,1.27945,1.01207,1.12485,0.0002378,0.0002378,0.0002378
91,1303.09,1.23537,1.19888,1.15577,0.65981,0.68058,0.66984,0.42541,1.28048,1.01595,1.12644,0.000218,0.000218,0.000218
92,1311.67,1.15126,1.11044,1.13283,0.65723,0.66388,0.65522,0.41502,1.29972,1.04497,1.14228,0.0001982,0.0001982,0.0001982
93,1320.15,1.16721,1.08114,1.12826,0.64374,0.67223,0.64803,0.40737,1.31743,1.06895,1.15197,0.0001784,0.0001784,0.0001784
94,1328.41,1.15227,1.04253,1.13704,0.63658,0.67954,0.64172,0.40154,1.32658,1.09925,1.15637,0.0001586,0.0001586,0.0001586
95,1337.05,1.16086,1.00768,1.12553,0.63849,0.67476,0.64113,0.4021,1.32178,1.12044,1.15503,0.0001388,0.0001388,0.0001388
96,1345.81,1.1598,1.02974,1.13065,0.62855,0.67954,0.64282,0.40913,1.29821,1.13051,1.14439,0.000119,0.000119,0.000119
97,1354.44,1.10987,0.97173,1.11106,0.63461,0.6691,0.64638,0.41116,1.29271,1.1248,1.1411,9.92e-05,9.92e-05,9.92e-05
98,1362.74,1.11466,0.9723,1.11498,0.63797,0.67119,0.64848,0.41175,1.28979,1.1157,1.14007,7.94e-05,7.94e-05,7.94e-05
99,1371.82,1.12537,0.94981,1.10972,0.61529,0.68789,0.64856,0.41215,1.28716,1.10593,1.1383,5.96e-05,5.96e-05,5.96e-05
100,1380.21,1.14855,0.99054,1.1368,0.61474,0.68685,0.64626,0.41169,1.28636,1.08975,1.14042,3.98e-05,3.98e-05,3.98e-05
