epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,5357.85,0.88763,0.6695,1.23085,0.8325,0.83532,0.89494,0.66511,0.34152,0.69144,0.35102,0.006733,0.006733,0.006733
68,5437.2,0.87752,0.65408,1.21873,0.85688,0.82541,0.88709,0.67075,0.34005,0.44307,0.34901,0.0066835,0.0066835,0.0066835
69,5516.48,0.8811,0.66307,1.22376,0.85334,0.83189,0.88272,0.6706,0.3396,0.3903,0.3502,0.006634,0.006634,0.006634
70,5596.07,0.87969,0.65646,1.21817,0.84393,0.8602,0.88063,0.66919,0.346,0.36641,0.35307,0.0065845,0.0065845,0.0065845
71,5675.55,0.86965,0.65164,1.21343,0.84346,0.82251,0.87121,0.66699,0.3417,0.32546,0.34951,0.006535,0.006535,0.006535
72,5754.98,0.86793,0.647,1.21283,0.87795,0.778,0.87297,0.66941,0.33383,0.36638,0.34454,0.0064855,0.0064855,0.0064855
73,5834.4,0.8635,0.63808,1.20648,0.81871,0.87669,0.88441,0.6746,0.34691,0.30561,0.35561,0.006436,0.006436,0.006436
74,5914.43,0.86161,0.6399,1.204,0.84672,0.85956,0.89025,0.68077,0.3414,0.62431,0.35223,0.0063865,0.0063865,0.0063865
75,5994.19,0.85544,0.63984,1.20706,0.84809,0.86351,0.89157,0.66842,0.34562,0.89961,0.35246,0.006337,0.006337,0.006337
76,6073.4,0.84573,0.63271,1.1989,0.83632,0.87732,0.88723,0.67369,0.34555,0.47477,0.35192,0.0062875,0.0062875,0.0062875
77,6152.62,0.84511,0.62887,1.19506,0.86606,0.8501,0.88908,0.67883,0.34904,0.63786,0.35561,0.006238,0.006238,0.006238
78,6231.86,0.84309,0.62615,1.19611,0.83592,0.89126,0.88681,0.67265,0.34797,0.3703,0.35504,0.0061885,0.0061885,0.0061885
79,6311.18,0.8402,0.62754,1.18889,0.83464,0.88926,0.88524,0.66769,0.34788,0.36348,0.35651,0.006139,0.006139,0.006139
80,6390.64,0.84073,0.62613,1.19566,0.84321,0.8859,0.88676,0.66869,0.35172,0.64654,0.35789,0.0060895,0.0060895,0.0060895
81,6469.88,0.83424,0.6195,1.19268,0.83914,0.88599,0.87767,0.66521,0.34455,0.64631,0.35398,0.00604,0.00604,0.00604
82,6549.09,0.82367,0.61388,1.18382,0.84979,0.86618,0.87946,0.66467,0.34792,0.44817,0.3576,0.0059905,0.0059905,0.0059905
83,6628.32,0.82356,0.6073,1.17936,0.83706,0.88176,0.88317,0.66471,0.35421,0.27519,0.36008,0.005941,0.005941,0.005941
84,6707.49,0.82344,0.60882,1.18439,0.83514,0.88308,0.89004,0.67762,0.35054,0.23111,0.3593,0.0058915,0.0058915,0.0058915
85,6786.8,0.81739,0.60722,1.17641,0.88069,0.84412,0.88962,0.68305,0.34619,0.24617,0.35908,0.005842,0.005842,0.005842
