epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3287.93,1.10818,0.90836,1.39741,0.81821,0.78489,0.86649,0.63004,0.36046,1.98114,0.35708,0.006634,0.006634,0.006634
70,3335.48,1.10561,0.89917,1.38906,0.85493,0.76228,0.86777,0.64359,0.35455,1.29618,0.354,0.0065845,0.0065845,0.0065845
71,3382.99,1.09885,0.89032,1.38545,0.84518,0.74934,0.86136,0.6364,0.35183,0.9142,0.35355,0.006535,0.006535,0.006535
72,3430.4,1.08808,0.87883,1.37918,0.81508,0.79695,0.86577,0.64534,0.35062,0.89161,0.35128,0.0064855,0.0064855,0.0064855
73,3477.98,1.09037,0.87627,1.37898,0.85462,0.79743,0.87171,0.63703,0.35491,0.84621,0.3536,0.006436,0.006436,0.006436
74,3526.08,1.0884,0.87628,1.37824,0.82992,0.78032,0.87636,0.64216,0.35009,0.94816,0.35186,0.0063865,0.0063865,0.0063865
75,3573.37,1.08041,0.87756,1.37757,0.85863,0.77289,0.88724,0.64714,0.35025,1.18781,0.35152,0.006337,0.006337,0.006337
76,3620.85,1.0768,0.86707,1.37302,0.83952,0.80785,0.88156,0.65047,0.34711,0.94432,0.34986,0.0062875,0.0062875,0.0062875
77,3669.31,1.07404,0.86463,1.36514,0.84446,0.79367,0.88729,0.65621,0.34882,0.99515,0.35157,0.006238,0.006238,0.006238
78,3716.77,1.07066,0.85974,1.3637,0.86662,0.78119,0.88638,0.64754,0.35066,0.90968,0.35268,0.0061885,0.0061885,0.0061885
79,3764.05,1.06924,0.8611,1.36067,0.86188,0.77082,0.88299,0.64831,0.34906,1.178,0.35403,0.006139,0.006139,0.006139
80,3811.49,1.07424,0.86142,1.36969,0.81698,0.82813,0.88374,0.64751,0.3517,1.2313,0.35643,0.0060895,0.0060895,0.0060895
81,3859.02,1.06752,0.85694,1.36686,0.81976,0.79623,0.87739,0.64015,0.3474,1.48371,0.35163,0.00604,0.00604,0.00604
82,3906.37,1.06127,0.84571,1.36047,0.86059,0.76782,0.8822,0.64026,0.35154,1.43997,0.35594,0.0059905,0.0059905,0.0059905
83,3953.92,1.06279,0.84522,1.3509,0.86651,0.75723,0.88122,0.64661,0.34834,1.4784,0.35321,0.005941,0.005941,0.005941
84,4001.16,1.05347,0.838,1.35227,0.84803,0.79198,0.88463,0.65327,0.3491,1.32793,0.35394,0.0058915,0.0058915,0.0058915
85,4048.56,1.0577,0.84335,1.34869,0.8354,0.79529,0.88522,0.65392,0.34922,0.94157,0.35436,0.005842,0.005842,0.005842
86,4096.11,1.05499,0.8389,1.35544,0.79706,0.81732,0.88548,0.6578,0.34702,0.95642,0.35232,0.0057925,0.0057925,0.0057925
87,4143.69,1.0497,0.83502,1.34449,0.7829,0.85954,0.8924,0.65786,0.34688,1.15691,0.35301,0.005743,0.005743,0.005743
88,4191.34,1.04083,0.82981,1.34353,0.80255,0.82658,0.88685,0.65223,0.34849,0.95702,0.35303,0.0056935,0.0056935,0.0056935
89,4238.76,1.03062,0.81735,1.33288,0.81555,0.80384,0.88862,0.65845,0.34849,0.9403,0.35305,0.005644,0.005644,0.005644
90,4286.12,1.0298,0.81772,1.33789,0.82902,0.83015,0.88953,0.66302,0.35151,0.74446,0.35639,0.0055945,0.0055945,0.0055945
91,4333.76,1.03131,0.81211,1.33136,0.85842,0.79215,0.89487,0.66768,0.35069,0.71003,0.35512,0.005545,0.005545,0.005545
92,4381.41,1.02394,0.81639,1.32752,0.85146,0.79838,0.89552,0.66462,0.34893,0.91052,0.3519,0.0054955,0.0054955,0.0054955
93,4428.8,1.02799,0.81263,1.33498,0.86165,0.81995,0.89755,0.66814,0.34573,0.77638,0.35072,0.005446,0.005446,0.005446
94,4476.68,1.01874,0.80557,1.32658,0.84316,0.82092,0.89106,0.66193,0.34577,0.74401,0.35154,0.0053965,0.0053965,0.0053965
95,4524.48,1.0186,0.79784,1.31871,0.86163,0.81544,0.89661,0.66443,0.34091,0.69403,0.34774,0.005347,0.005347,0.005347
